phase,kind,start_sec,end_sec,duration_sec,steady_window_sec,eval_window_sec,stationarity_window_sec,transient_start_sec,settle_search_start_sec,settled_start_sec,eval_start_sec,eval_end_sec,settled,not_settled_reason,stationarity_metrics,evaluated_component,repeat,velocity_key,velocity_speed_mps,desired,steady_actual,denominator,error_percent,sample_count,steady_sample_count,eval_sample_count
position_vertex_09,position,509.0,527.0,18.0,,5.0,3.0,509.0,516.0,516.0,519.0,524.0,True,,"{'valid': True, 'sample_count': 29, 'speed_mean_mps': 0.06322455362935245, 'position_std_m': 0.061075992902436524, 'position_slope_mps': 0.0701161810575764, 'x_slope_mps': -0.017244565986122326, 'y_slope_mps': -0.06796251753760384}",E_pos,10,,,"[55.0, 15.999999999999998, 10.0]","[55.01720191955567, 16.006369361877443, 10.03799207687378]",6.18033988749895,0.6826248791593018,179,29,50
return_p0_after_position,hold,527.0,530.0,3.0,,5.0,3.0,527.0,527.0,,,,,,,,10,,,,,,,30,,
yaw_window_01_+90deg,yaw,530.0,546.0,16.0,,5.0,3.0,530.0,535.0,535.0,538.0,543.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.003870173266749706, 'yaw_slope_radps': 0.004066698739979968, 'yaw_rate_mean_radps': 0.011169510907831305}",E_yaw,1,,,2.0407242694814323,{'mean_wrapped_yaw_error_rad': 0.0005583098577876273},1.5707963267948966,0.035543109457533605,159,30,49
yaw_window_02_+180deg,yaw,546.0,562.0,16.0,,5.0,3.0,546.0,551.0,551.0,554.0,559.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.001880273721864009, 'yaw_slope_radps': 0.0008438430260356068, 'yaw_rate_mean_radps': 0.006774541686451152}",E_yaw,2,,,3.611520596276329,{'mean_wrapped_yaw_error_rad': 0.0018218932062980678},1.5707963267948966,0.11598532382715188,159,30,49
yaw_window_03_+270deg,yaw,562.0,578.0,16.0,,5.0,3.0,562.0,567.0,567.0,570.0,575.0,True,,"{'valid': True, 'sample_count': 29, 'yaw_std_rad': 0.003843417878679242, 'yaw_slope_radps': 0.0011901794618534934, 'yaw_rate_mean_radps': 0.010448639042481144}",E_yaw,3,,,5.182316923071226,{'mean_wrapped_yaw_error_rad': 0.0026970149679847745},1.5707963267948966,0.1716973054990427,158,29,50
yaw_window_04_+360deg,yaw,578.0,594.0,16.0,,5.0,3.0,578.0,583.0,583.0,586.0,591.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.004573605302684992, 'yaw_slope_radps': 0.004460826995647269, 'yaw_rate_mean_radps': 0.009935246843604664}",E_yaw,4,,,6.753113249866122,{'mean_wrapped_yaw_error_rad': 0.0013325521211712333},1.5707963267948966,0.08483290280479683,159,30,49
yaw_window_05_-90deg,yaw,594.0,610.0,16.0,,5.0,3.0,594.0,599.0,599.0,602.0,607.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.0017996788683089582, 'yaw_slope_radps': 0.0007866445287688362, 'yaw_rate_mean_radps': 0.0060733069856254325}",E_yaw,5,,,-1.1008683841083606,{'mean_wrapped_yaw_error_rad': -0.000389749473995749},1.5707963267948966,0.024812222141555828,158,30,49
yaw_window_06_-180deg,yaw,610.0,626.0,16.0,,5.0,3.0,610.0,615.0,615.0,618.0,623.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.002561029195239483, 'yaw_slope_radps': 0.00018756078463176513, 'yaw_rate_mean_radps': 0.00847154917978218}",E_yaw,6,,,-2.6716647109032574,{'mean_wrapped_yaw_error_rad': -0.001331129324341429},1.5707963267948966,0.0847423247454053,159,30,49
yaw_window_07_-270deg,yaw,626.0,642.0,16.0,,5.0,3.0,626.0,631.0,631.0,634.0,639.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.001846735292841877, 'yaw_slope_radps': 0.001564010423736018, 'yaw_rate_mean_radps': 0.005488975151993401}",E_yaw,7,,,-4.2424610376981535,{'mean_wrapped_yaw_error_rad': -0.0010896857038330294},1.5707963267948966,0.06937154647263909,159,30,49
yaw_window_08_-360deg,yaw,642.0,658.0,16.0,,5.0,3.0,642.0,647.0,647.0,650.0,655.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.0013239438811449538, 'yaw_slope_radps': 0.0007966734331288306, 'yaw_rate_mean_radps': 0.005704701014070718}",E_yaw,8,,,-5.81325736449305,{'mean_wrapped_yaw_error_rad': -0.0027297174649271875},1.5707963267948966,0.17377921111497574,159,30,49
yaw_window_09_+180deg,yaw,658.0,674.0,16.0,,5.0,3.0,658.0,663.0,663.0,666.0,671.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.01735556244261516, 'yaw_slope_radps': 0.015287930373032194, 'yaw_rate_mean_radps': 0.026802540868736596}",E_yaw,9,,,3.611520596276329,{'mean_wrapped_yaw_error_rad': -0.0027592353322400953},3.141592653589793,0.08782918845596387,159,30,49
yaw_window_10_+0deg,yaw,674.0,690.0,16.0,,5.0,3.0,674.0,679.0,679.0,682.0,687.0,True,,"{'valid': True, 'sample_count': 30, 'yaw_std_rad': 0.011191870764378149, 'yaw_slope_radps': 0.006952164523689808, 'yaw_rate_mean_radps': 0.02657270265636896}",E_yaw,10,,,0.46992794268653587,{'mean_wrapped_yaw_error_rad': -0.006847027680593158},3.141592653589793,0.21794766017068723,159,30,49
return_p0_hover,hold,690.0,695.0,5.0,,5.0,3.0,690.0,690.0,,,,,,,,10,,,,,,,50,,
